entry_id;language_code;german_section;german_chapter;german_subsection;german_clinical_situation;german_recommendation
314;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Nur M. pneumoniae;"14 Tage (falls CFT-Antikörper getestet; falls PCR verwendet keine Wiederholung) Beim Testen auf Mycoplasma IgM sollte eine zweite Probe sieben bis zehn Tage nach einem negativen Ergebnis genommen werden falls die erste Probe früh in der Krankheit genommen wurde"
315;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Nasen-Abstrich;Sieben Tage
316;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Nasopharyngeales Aspirat;Sieben Tage
317;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;PD-Flüssigkeiten, Mikroskopie und Kultur;Nicht zutreffend
318;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Peritonealflüssigkeit;Nicht zutreffend
319;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Pernasaler Abstrich (für Pertussis);Nicht zutreffend
320;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Pernasale Abstriche;Sieben Tage
321;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Pleuraerguss/Thoraxflüssigkeiten;Nicht zutreffend
322;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Pleuraflüssigkeit;Nicht zutreffend
323;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Pneumocystis jirovecii (DIF/PCR);Nicht zutreffend
324;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Eiter-Abstrich;Drei Tage oder einmal pro Drainage-Episode
325;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Eiter/Exsudat;Nicht zutreffend
326;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Samenflüssigkeit;28 Tage
327;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Haut, Nagel und Haar für Mykologie;Drei Monate
328;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Sputum (dies schließt TB-Untersuchung aus, siehe M-56);Drei Tage
329;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Syphilis;14 Tage nach negativem Ergebnis bei risikobehafteter Person Für Behandlungsantwort, Rapid-Plasma-Regain (RPR) dreimal monatlich testen
330;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Rachen-Abstrich;Abhängig vom Ergebnis: Positiv: sieben Tage Negativ: drei Tage
331;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Gewebe-/Knochen-Mikroskopie und Kultur;Nicht zutreffend
332;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Gewebe und Biopsien;Nicht zutreffend
333;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Toxoplasma IgG-Screening negativ;Sieben Tage
334;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Toxoplasma IgG-Screening positiv;Niemals
335;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Tuberkulose;Nicht zutreffend
336;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Urethral-Abstrich;Nicht zutreffend
337;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Urin für Tuberkulose;Nicht zutreffend
338;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Urin, Mikroskopie und Kultur;Drei Tage
339;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Wund- und Ulkus-Abstrich;Sieben Tage
340;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;Aspergillus GM (Bio-Rad Platelia Aspergillus ELISA);Zweimal wöchentliches serielles Screening für Blut-GM bei Hochrisiko-Hämatologie-Patienten*: • einzelne negative Probe kann zum Ausschluss von IA verwendet werden • zwei aufeinanderfolgende positive Proben bieten guten positiven Vorhersagewert • Reduktion des GM-Index während der ersten zwei Wochen der antimykotischen Therapie ist ein zuverlässiger Prädiktor für Behandlungsantwort Diagnostisches GM bei BAL ist der sensitivste Test *Neutropenische Patienten und allogene Stammzelltransplantations-Empfänger während der frühen Anwachsphase, die nicht unter schimmelaktiver antimykotischer Prophylaxe oder Behandlung stehen
341;de;Mikrobiologie;5.1 Allgemeine Mikrobiologie;;BDG;Zweimal wöchentliches Screening für schwer kranke Intensivstation-Patienten und Patienten mit hämatologischen Malignomen und nach allogener hämatopoetischer Stammzelltransplantation: • einzelne negative Probe kann zum Ausschluss der Diagnose der meisten invasiven Pilzinfektionen verwendet werden (bemerkenswerte Ausnahmen sind Mukormykose-Infektionen, Kryptokokkose, einige dimorphe Pilze und andere seltene Pilze) Wiederholung positiver BDG-Ergebnisse ist klinisch nicht hilfreich da es mehrere Wochen dauern kann bis es aus dem System verschwindet
342;de;Virologie;6 Virologie-Empfehlungen;;Mütterliche HIV-Infektion;"Nicht gestilltes Säugling Säuglingsblut (EDTA) für HIV-provirale DNA-PCR testen: • während der ersten 48 Stunden • nach zwei Wochen (bei hohem Risiko*) • nach sechs Wochen (oder zwei Wochen nach Beendigung der Prophylaxe) • nach 12 Wochen (oder acht Wochen nach Beendigung der Prophylaxe) Bei anderen Gelegenheiten falls zusätzliches Risiko: • HIV Ag/Ab auf Seroreversion nach 18–24 Monaten testen Gestilltes Säugling Säuglingsblut (EDTA) für HIV-provirale DNA-PCR testen: • während der ersten 48 Stunden • nach zwei Wochen • monatlich für die Dauer des Stillens • nach vier und acht Wochen nach Beendigung des Stillens Bei anderen Gelegenheiten falls zusätzliches Risiko: • HIV Ag/Ab auf Seroreversion nach 18–24 Monaten testen *Hohes Risiko bedeutet nachweisbare mütterliche HIV-RNA-Virämie nach 36 Wochen und bei Geburt)ägt werden)"""
349;de;Virologie;6 Virologie-Empfehlungen;;Nierenversagen – verstärkte Überwachung für die mit mittlerem/hohem Risiko für neue BBV nach Dialyse im Ausland (alle BBV-Tests) oder falls eine neue BBV-Infektion in der HD-Einheit identifiziert wird (nur für die spezifische BBV-Infektion) Für HCV;HCV-RNA-PCR oder HCV-Antigen oder HCV-Antigen/Antikörper alle zwei Wochen für drei Monate testen
350;de;Virologie;6 Virologie-Empfehlungen;;Nierenversagen – verstärkte Überwachung für die mit mittlerem/hohem Risiko für neue BBV nach Dialyse im Ausland (alle BBV-Tests) oder falls eine neue BBV-Infektion in der HD-Einheit identifiziert wird (nur für die spezifische BBV-Infektion) Für HBV;HBsAg oder HBV-PCR alle zwei Wochen für drei Monate testen (unabhängig vom Anti-HBs-Spiegel)
351;de;Virologie;6 Virologie-Empfehlungen;;Nierenversagen – verstärkte Überwachung für die mit mittlerem/hohem Risiko für neue BBV nach Dialyse im Ausland (alle BBV-Tests) oder falls eine neue BBV-Infektion in der HD-Einheit identifiziert wird (nur für die spezifische BBV-Infektion) Für HIV;HIV Ag/Ab oder HIV-RNA-PCR alle zwei Wochen für drei Monate testen (nur bei Risiko nach Dialyse außerhalb der Basis)
352;de;Virologie;6 Virologie-Empfehlungen;;Potentielle signifikante Exposition gegenüber HBsAg-positivem Material, Hepatitis-B-empfänglich;Risiko und Empfänger-HBV-Immunität bewerten Baseline-Blut zur Lagerung vom Empfänger sammeln Mit HBV-Impfstoff ± HBIG entsprechend dem Szenario intervenieren HBsAg nach drei Monaten testen HBsAg, Anti-HBc nach sechs Monaten testen Anti-HBs ein bis zwei Monate nach Impfkurs testen
353;de;Virologie;6 Virologie-Empfehlungen;;Potentielle signifikante Exposition gegenüber HIV-positivem Material aber keine Post-Expositions-Prophylaxe gegeben (Hinweis: falls der Empfänger PREP nimmt dann beachten dass dies die HIV Ag/Ab-Antworten verändern kann und der Fall sollte mit einem Facharzt für Virologie besprochen werden);Baseline-Blut zur Lagerung sammeln Falls der Arbeitsmedizin (OH) exponiert, besagt die Leitlinie dass minimale Testung ein HIV Ag/Ab-Test 12 Wochen nach Exposition sein sollte. Jedoch kann frühere Testung zusätzlich dazu falls erforderlich auftreten (vier Wochen nach Exposition) In nicht-arbeitsmedizinischer Umgebung sollte die BASHH-Leitlinie befolgt werden die besagt dass ein negativer HIV Ag/Ab-Test bei einem Viertgenerations-Assay durchgeführt 4 Wochen nach Exposition wahrscheinlich HIV-Infektion ausschließt. Ein weiterer Test 8 Wochen nach Exposition muss nur nach einem Ereignis erwogen werden das als hohes Infektionsrisiko bewertet wird
354;de;Virologie;6 Virologie-Empfehlungen;;Potentielle signifikante Exposition gegenüber HIV-positivem Material und Post-Expositions-Prophylaxe gegeben;Baseline-Blut zur Lagerung sammeln Die DOH OH-Leitlinie besagt dass minimale Testung ein HIV Ag/Ab-Test 12 Wochen nach Beendigung der PEP sein sollte Zusätzlich kann ein früherer Test ebenfalls durchgeführt werden (vier bis sechs Wochen nach Beendigung der PEP)
355;de;Virologie;6 Virologie-Empfehlungen;;Potentielle signifikante Exposition gegenüber HCV-positivem Material;Nach sechs Wochen durch HCV-RNA-PCR und durch sowohl HCV-RNA-PCR als auch Anti-HCV nach 12 Wochen testen Falls negativ, nach 24 Wochen nur mit Anti-HCV testen
